INFO 2025-12-12 14:22:09,248 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:37:51,667 log "GET /admin/appone/user/ HTTP/1.1" 200 18325
INFO 2025-12-12 14:37:51,698 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-12 14:38:03,132 log "GET /admin/appone/otpverification/ HTTP/1.1" 200 15402
INFO 2025-12-12 14:38:03,159 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-12 14:38:05,553 log "GET /admin/appone/otpverification/add/ HTTP/1.1" 200 19882
INFO 2025-12-12 14:38:05,582 log "GET /static/admin/js/calendar.js HTTP/1.1" 200 9159
INFO 2025-12-12 14:38:05,584 log "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19698
INFO 2025-12-12 14:38:05,584 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-12-12 14:38:05,616 log "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 805
INFO 2025-12-12 14:38:05,618 log "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1112
INFO 2025-12-12 14:38:36,394 log "POST /api-auth/login/ HTTP/1.1" 302 0
WARNING 2025-12-12 14:38:36,401 log Unauthorized: /api/freelancers/
WARNING 2025-12-12 14:38:36,401 log "GET /api/freelancers/ HTTP/1.1" 401 10103
INFO 2025-12-12 14:46:32,649 log "GET /api/auth/login HTTP/1.1" 301 0
WARNING 2025-12-12 14:46:32,665 log Method Not Allowed: /api/auth/login/
WARNING 2025-12-12 14:46:32,666 log "GET /api/auth/login/ HTTP/1.1" 405 11168
INFO 2025-12-12 14:46:32,696 log "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,701 log "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,703 log "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,702 log "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,706 log "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,707 log "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,707 log "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,708 log "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,708 log "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,708 log "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-12-12 14:46:32,711 log "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
WARNING 2025-12-12 14:46:49,549 log Method Not Allowed: /api/auth/login/
WARNING 2025-12-12 14:46:49,551 log "GET /api/auth/login/ HTTP/1.1" 405 11168
INFO 2025-12-12 14:49:34,073 autoreload /Users/oyediranoyewole/PycharmProjects/RemPro/RemPro/settings.py changed, reloading.
INFO 2025-12-12 14:49:35,089 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:49:38,091 autoreload Watching for file changes with StatReloader
INFO 2025-12-12 14:49:43,158 log "GET /api-auth/login/?next=/api/auth/login/ HTTP/1.1" 200 2713
INFO 2025-12-12 14:49:43,246 log "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2025-12-12 14:49:53,802 log "POST /api-auth/login/ HTTP/1.1" 302 0
WARNING 2025-12-12 14:49:53,852 log Method Not Allowed: /api/auth/login/
WARNING 2025-12-12 14:49:53,852 log "GET /api/auth/login/ HTTP/1.1" 405 11718
INFO 2025-12-12 14:50:09,088 log "OPTIONS /api/auth/login/ HTTP/1.1" 200 11993
